(Jan 24 2018 19:26:45,   89341 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:26:45,   89342 sec) login()              Login prompt not received.
(Jan 24 2018 19:27:15,   89371 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:27:15,   89372 sec) login()              Login prompt not received.
(Jan 24 2018 19:27:15,   89372 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(Jan 24 2018 19:27:16,   89373 sec) CLogin()             Connecting to primary host.
(Jan 24 2018 19:27:35,   89392 sec) CLogin()             Connection 21 established in 19 seconds.
(Jan 24 2018 19:28:05,   89421 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:28:05,   89422 sec) login()              Login prompt not received.
(Jan 24 2018 19:28:35,   89451 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:28:35,   89452 sec) login()              Login prompt not received.
(Jan 24 2018 19:28:49,   89465 sec) CLogin()             Connection 22 established in 93 seconds.
(Jan 24 2018 19:29:19,   89495 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:29:19,   89496 sec) login()              Login prompt not received.
(Jan 24 2018 19:29:19,   89496 sec) login()              No carrier detected.
(Jan 24 2018 19:29:19,   89496 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Jan 24 2018 19:30:20,   89556 sec) chat()               Expected string [CONNECT] not received.
(Jan 24 2018 19:30:20,   89557 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Jan 24 2018 19:30:20,   89557 sec) connect()            Connection attempt failed.
(Jan 24 2018 19:31:21,   89617 sec) chat()               Expected string [CONNECT] not received.
(Jan 24 2018 19:31:21,   89618 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Jan 24 2018 19:31:21,   89618 sec) connect()            Connection attempt failed.
(Jan 24 2018 19:31:21,   89618 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(Jan 24 2018 19:31:22,   89618 sec) UpLoad()             Files successfully uploaded: 0
(Jan 24 2018 19:31:22,   89619 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(Jan 24 2018 19:31:22,   89619 sec) logout()             No carrier detected.
(Jan 24 2018 19:31:22,   89619 sec) Telemetry()          Telemetry cycle complete: PrfId=54 ConnectionAttempts=32  Connections=22
(Jan 24 2018 19:46:38,   90534 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [125cnt, 6.2"Hg].
(Jan 24 2018 19:47:23,   90580 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: -0.4dbars / 246.9uM 23.805C 30.027 8.892 150.487 / 188,170,538
(Jan 24 2018 19:47:27,   90584 sec) GpsServices()        GPS almanac is current.
(Jan 24 2018 19:47:27,   90584 sec) GpsServices()        Initiating GPS fix acquisition.
(Jan 24 2018 19:48:17,   90633 sec) gga()                $GPGGA,194720,1544.1946,N,06426.6947,E,6,08,0.9,-3.7,M,-62.7,M,,*4E
(Jan 24 2018 19:48:59,   90676 sec) gga()                $GPGGA,194730,1544.1933,N,06426.6955,E,6,09,0.9,0.3,M,-62.7,M,,*65
(Jan 24 2018 19:50:26,   90763 sec) gga()                $GPGGA,194930,1544.1751,N,06426.7082,E,1,10,0.8,0.1,M,-62.7,M,,*6F
(Jan 24 2018 19:50:27,   90764 sec) GpsServices()        Profile 54 GPS fix obtained in 180 seconds.
(Jan 24 2018 19:50:27,   90764 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Jan 24 2018 19:50:27,   90764 sec) GpsServices()        Fix:   64.445  15.736 01/24/2018 194930   10
(Jan 24 2018 19:51:16,   90813 sec) gga()                $GPGGA,195020,1544.1694,N,06426.7142,E,1,10,0.8,-1.4,M,-62.7,M,,*4A
(Jan 24 2018 19:51:24,   90821 sec) gga()                $GPGGA,195110,1544.1623,N,06426.7197,E,1,10,0.8,-0.2,M,-62.7,M,,*4B
(Jan 24 2018 19:51:24,   90821 sec) GpsServices()        APF9 RTC skew (14s) OK.
(Jan 24 2018 19:51:34,   90831 sec) LogNmeaSentences()   $GPRMC,195120,A,1544.1612,N,06426.7208,E,001.0,139.0,240118,000.6,W*63
(Jan 24 2018 19:51:35,   90831 sec) LogNmeaSentences()   $GPGGA,195120,1544.1612,N,06426.7208,E,1,10,0.8,-0.6,M,-62.7,M,,*4B
(Jan 24 2018 19:51:35,   90832 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,06,12,,15,,19,20,24,25,29,1.1,0.8,0.8*34
(Jan 24 2018 19:51:36,   90833 sec) LogNmeaSentences()   $GPGSV,3,1,12,02,51,012,46,05,52,137,49,06,19,033,44,12,56,349,50*70
(Jan 24 2018 19:51:36,   90833 sec) LogNmeaSentences()   $GPGSV,3,2,12,13,04,166,37,15,05,196,41,17,01,079,25,19,11,066,40*70
(Jan 24 2018 19:51:37,   90834 sec) LogNmeaSentences()   $GPGSV,3,3,12,20,20,197,41,24,41,232,47,25,20,327,44,29,12,296,44*75
(Jan 24 2018 19:51:44,   90841 sec) LogNmeaSentences()   $GPRMC,195130,A,1544.1598,N,06426.7219,E,000.0,154.2,240118,000.6,W*6B
(Jan 24 2018 19:51:45,   90841 sec) LogNmeaSentences()   $GPGGA,195130,1544.1598,N,06426.7219,E,1,10,0.8,-0.8,M,-62.7,M,,*45
(Jan 24 2018 19:51:45,   90842 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,06,12,,15,,19,20,24,25,29,1.1,0.8,0.8*34
(Jan 24 2018 19:51:46,   90843 sec) LogNmeaSentences()   $GPGSV,3,1,12,02,51,012,46,05,52,136,49,06,19,033,42,12,56,349,49*7F
(Jan 24 2018 19:51:46,   90843 sec) LogNmeaSentences()   $GPGSV,3,2,12,13,04,166,35,15,05,196,41,17,01,079,24,19,11,066,39*7D
(Jan 24 2018 19:51:47,   90844 sec) LogNmeaSentences()   $GPGSV,3,3,12,20,20,197,35,24,41,232,47,25,20,327,42,29,12,296,45*71
(Jan 24 2018 19:51:54,   90851 sec) LogNmeaSentences()   $GPRMC,195140,A,1544.1583,N,06426.7229,E,001.3,199.5,240118,000.6,W*61
(Jan 24 2018 19:51:55,   90851 sec) LogNmeaSentences()   $GPGGA,195140,1544.1583,N,06426.7229,E,1,10,0.8,0.5,M,-62.7,M,,*6B
(Jan 24 2018 19:51:55,   90852 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,06,12,,15,19,20,24,25,29,,1.1,0.8,0.8*34
(Jan 24 2018 19:51:56,   90853 sec) LogNmeaSentences()   $GPGSV,3,1,12,02,51,012,46,05,52,136,49,06,19,033,37,12,56,349,50*75
(Jan 24 2018 19:51:56,   90853 sec) LogNmeaSentences()   $GPGSV,3,2,12,13,04,166,39,15,05,196,43,19,11,066,40,20,20,197,42*7B
(Jan 24 2018 19:51:57,   90854 sec) LogNmeaSentences()   $GPGSV,3,3,12,24,41,232,48,25,20,327,43,29,12,296,45,21,01,233,00*76
(Jan 24 2018 19:52:04,   90861 sec) LogNmeaSentences()   $GPRMC,195150,A,1544.1570,N,06426.7240,E,000.8,140.1,240118,000.6,W*69
(Jan 24 2018 19:52:05,   90861 sec) LogNmeaSentences()   $GPGGA,195150,1544.1570,N,06426.7240,E,1,10,0.8,0.3,M,-62.7,M,,*6F
(Jan 24 2018 19:52:05,   90862 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,06,12,,15,19,20,24,25,29,,1.1,0.8,0.8*34
(Jan 24 2018 19:52:06,   90863 sec) LogNmeaSentences()   $GPGSV,3,1,11,02,51,012,46,05,52,136,48,06,19,033,42,12,56,349,49*7D
