(Jul 12 2020 00:01:45,  869553 sec) gga()                $GPGGA,000000,1838.2560,N,06851.8938,E,1,10,0.8,2.8,M,-65.1,M,,*6D
(Jul 12 2020 00:01:45,  869553 sec) GpsServices()        Profile 176 GPS fix obtained in 93 seconds.
(Jul 12 2020 00:01:45,  869553 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Jul 12 2020 00:01:46,  869553 sec) GpsServices()        Fix:   68.865  18.638 07/12/2020 000000   10
(Jul 12 2020 00:02:32,  869600 sec) gga()                $GPGGA,000120,1838.2544,N,06851.9013,E,1,11,0.7,1.0,M,-65.1,M,,*6C
(Jul 12 2020 00:02:39,  869607 sec) gga()                $GPGGA,000210,1838.2542,N,06851.9045,E,1,12,0.7,0.0,M,-65.1,M,,*6B
(Jul 12 2020 00:02:40,  869607 sec) GpsServices()        APF9 RTC skew (30s) OK.
(Jul 12 2020 00:02:40,  869608 sec) GpsServices()        GPS services complete.
(Jul 12 2020 00:03:29,  869657 sec) CLogin()             Connecting to primary host.
(Jul 12 2020 00:03:53,  869681 sec) CLogin()             Connection 2 established in 24 seconds.
(Jul 12 2020 00:04:07,  869695 sec) login()              Login successful.
(Jul 12 2020 00:04:12,  869700 sec) CLogin()             Logged in to host.  [Login required 19 seconds]
(Jul 12 2020 00:04:24,  869712 sec) RxConfig()           Downloading "mission.cfg" from host.
(Jul 12 2020 00:04:27,  869714 sec) Rx()                 Initiating transfer. [0x43]
(Jul 12 2020 00:04:35,  869723 sec) RxStartByte()        Sync errors encountered: 706
(Jul 12 2020 00:04:38,  869725 sec) Rx()                 Pad character [0x1a] found in ascii mode - truncating packet.
(Jul 12 2020 00:04:50,  869737 sec) Rx()                 Received EOT - transfer complete. [1 packets, 1024 bytes, 23 sec, 44.5 bps]
(Jul 12 2020 00:04:50,  869738 sec) RxConfig()           Download successful.
(Jul 12 2020 00:05:13,  869761 sec) WriteVitals()        Writing vitals to "7827.176.msg".
(Jul 12 2020 00:05:29,  869777 sec) UpLoadFile()         Uploading "7827.176.msg" to host as "7827.176.msg".
(Jul 12 2020 00:05:44,  869792 sec) Tx()                 CRC negotiation successful. [16-bit CRC]
(Jul 12 2020 00:06:25,  869833 sec) TxPacket()           NAK received - resending packet. [PktNum=0x03]
(Jul 12 2020 00:06:25,  869833 sec) TxPacket()           Packet xmit history: [11000001] (0:ok, 1:fail).
(Jul 12 2020 00:06:34,  869842 sec) TxPacket()           NAK received - resending packet. [PktNum=0x03]
(Jul 12 2020 00:06:34,  869842 sec) TxPacket()           Packet xmit history: [10000011] (0:ok, 1:fail).
(Jul 12 2020 00:06:39,  869847 sec) TxPacket()           NAK received - resending packet. [PktNum=0x03]
(Jul 12 2020 00:06:39,  869847 sec) TxPacket()           Packet xmit history: [00000111] (0:ok, 1:fail).
