(Feb 05 2015 15:59:35,  848894 sec) GpsServices()        GPS services complete.
(Feb 05 2015 15:59:59,  848918 sec) CLogin()             Connecting to primary host.
(Feb 05 2015 16:00:15,  848934 sec) CLogin()             Connection 9 established in 16 seconds.
(Feb 05 2015 16:00:45,  848963 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 16:00:45,  848964 sec) login()              Login prompt not received.
(Feb 05 2015 16:01:15,  848993 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 16:01:15,  848994 sec) login()              Login prompt not received.
(Feb 05 2015 16:01:15,  848994 sec) login()              No carrier detected.
(Feb 05 2015 16:01:15,  848994 sec) CLogin()             Attempt to login to host failed.
(Feb 05 2015 16:01:15,  848994 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Feb 05 2015 16:01:20,  848999 sec) CLogin()             Connecting to primary host.
(Feb 05 2015 16:01:31,  849010 sec) CLogin()             Connection 10 established in 11 seconds.
(Feb 05 2015 16:02:02,  849040 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 16:02:02,  849041 sec) login()              Login prompt not received.
(Feb 05 2015 16:02:32,  849070 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 16:02:32,  849071 sec) login()              Login prompt not received.
(Feb 05 2015 16:02:32,  849071 sec) login()              No carrier detected.
(Feb 05 2015 16:02:32,  849071 sec) CLogin()             Attempt to login to host failed.
(Feb 05 2015 16:02:32,  849071 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Feb 05 2015 16:02:32,  849071 sec) DownLoadMissionCfg() Aborting download: Retry limit [2] exceeded.
(Feb 05 2015 16:02:32,  849071 sec) WriteVitals()        Writing vitals to "9567.008.msg".
(Feb 05 2015 16:02:35,  849074 sec) CLogin()             Connecting to primary host.
(Feb 05 2015 16:02:49,  849088 sec) CLogin()             Connection 11 established in 14 seconds.
(Feb 05 2015 16:03:19,  849117 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 16:03:19,  849118 sec) login()              Login prompt not received.
(Feb 05 2015 16:03:49,  849147 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 16:03:49,  849148 sec) login()              Login prompt not received.
(Feb 05 2015 16:03:49,  849148 sec) login()              No carrier detected.
(Feb 05 2015 16:03:49,  849148 sec) CLogin()             Attempt to login to host failed.
(Feb 05 2015 16:03:49,  849148 sec) CLogin()             Connecting to primary host.
(Feb 05 2015 16:04:08,  849167 sec) CLogin()             Connection 12 established in 19 seconds.
(Feb 05 2015 16:04:38,  849196 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 16:04:38,  849197 sec) login()              Login prompt not received.
(Feb 05 2015 16:05:08,  849226 sec) expect()             Attempt to read prompt string [login:] failed.
(Feb 05 2015 16:05:08,  849227 sec) login()              Login prompt not received.
(Feb 05 2015 16:05:08,  849227 sec) login()              No carrier detected.
(Feb 05 2015 16:05:08,  849227 sec) CLogin()             Attempt to login to host failed.
(Feb 05 2015 16:05:08,  849227 sec) UpLoad()             Files successfully uploaded: 0
(Feb 05 2015 16:05:08,  849227 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(Feb 05 2015 16:05:08,  849227 sec) logout()             No carrier detected.
(Feb 05 2015 16:05:08,  849227 sec) Telemetry()          Telemetry cycle complete: PrfId=8 ConnectionAttempts=13  Connections=12
(Feb 05 2015 16:20:23,  850142 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [125cnt, 6.2"Hg].
(Feb 05 2015 16:20:53,  850171 sec) GpsServices()        GPS almanac is current.
(Feb 05 2015 16:20:53,  850172 sec) GpsServices()        Initiating GPS fix acquisition.
(Feb 05 2015 16:20:59,  850178 sec) gga()                $GPGGA,162040,0915.6886,N,08552.0245,E,0,00,,,M,,M,,*58
(Feb 05 2015 16:21:28,  850207 sec) gga()                $GPGGA,162050,0915.6036,N,08551.7487,E,1,05,0.9,15.4,M,-82.1,M,,*53
(Feb 05 2015 16:21:28,  850207 sec) GpsServices()        Profile 8 GPS fix obtained in 35 seconds.
(Feb 05 2015 16:21:28,  850207 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Feb 05 2015 16:21:28,  850207 sec) GpsServices()        Fix:   85.862   9.260 02/05/2015 162050    5
(Feb 05 2015 16:21:58,  850237 sec) gga()                $GPGGA,162120,0915.5980,N,08551.7429,E,1,04,1.3,9.9,M,-82.1,M,,*6C
(Feb 05 2015 16:22:04,  850242 sec) gga()                $GPGGA,162150,0915.5963,N,08551.7365,E,1,10,1.0,12.7,M,-82.1,M,,*5B
(Feb 05 2015 16:22:04,  850243 sec) GpsServices()        APF9 RTC skew (14s) OK.
(Feb 05 2015 16:22:04,  850243 sec) LogNmeaSentences()   7,188,45,10,06,223,38,11,41,054,47,13,05,317,27*79
(Feb 05 2015 16:22:04,  850243 sec) LogNmeaSentences()   $GPGSV,3,3,12,23,15,163,44,28,27,329,42,30,53,358,48,17,50,253,00*7A
(Feb 05 2015 16:22:13,  850252 sec) LogNmeaSentences()   $GPRMC,162200,A,0915.5947,N,08551.7350,E,000.0,311.7,050215,001.8,W*67
(Feb 05 2015 16:22:14,  850253 sec) LogNmeaSentences()   $GPGGA,162200,0915.5947,N,08551.7350,E,1,10,0.9,12.9,M,-82.1,M,,*5B
(Feb 05 2015 16:22:14,  850253 sec) LogNmeaSentences()   $GPGSA,A,3,01,04,07,09,10,11,13,23,28,30,,,1.2,0.9,0.8*30
(Feb 05 2015 16:22:15,  850254 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,45,085,27,04,24,059,28,07,66,061,27,09,37,188,30*7E
(Feb 05 2015 16:22:15,  850254 sec) LogNmeaSentences()   $GPGSV,3,2,12,10,06,223,22,11,41,054,32,13,05,317,25,23,15,163,30*7D
(Feb 05 2015 16:22:15,  850254 sec) LogNmeaSentences()   $GPGSV,3,3,12,28,27,329,31,30,53,358,35,06,08,203,00,17,50,253,00*7A
(Feb 05 2015 16:22:16,  850255 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 3.80,,,,,,,,*7C
(Feb 05 2015 16:22:23,  850262 sec) LogNmeaSentences()   $GPRMC,162210,A,0915.5935,N,08551.7327,E,002.6,211.3,050215,001.8,W*62
(Feb 05 2015 16:22:24,  850263 sec) LogNmeaSentences()   $GPGGA,162210,0915.5935,N,08551.7327,E,1,11,0.9,12.7,M,-82.1,M,,*50
(Feb 05 2015 16:22:24,  850263 sec) LogNmeaSentences()   $GPGSA,A,3,01,04,06,07,09,10,11,13,23,28,30,,1.2,0.9,0.8*36
(Feb 05 2015 16:22:25,  850264 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,45,085,44,04,24,059,44,06,08,202,36,07,66,061,47*73
(Feb 05 2015 16:22:25,  850264 sec) LogNmeaSentences()   $GPGSV,3,2,12,09,37,188,47,10,06,223,36,11,41,054,45,13,05,317,37*76
(Feb 05 2015 16:22:25,  850264 sec) LogNmeaSentences()   $GPGSV,3,3,12,23,14,163,43,28,27,329,42,30,53,358,45,17,50,254,00*76
