(Oct 14 2017 15:09:56,  848338 sec) CLogin()             Connecting to primary host.
(Oct 14 2017 15:10:06,  848348 sec) CLogin()             Connection 8 established in 10 seconds.
(Oct 14 2017 15:10:36,  848377 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 15:10:36,  848377 sec) login()              Login prompt not received.
(Oct 14 2017 15:11:06,  848407 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 15:11:06,  848407 sec) login()              Login prompt not received.
(Oct 14 2017 15:11:06,  848407 sec) login()              No carrier detected.
(Oct 14 2017 15:11:06,  848407 sec) CLogin()             Attempt to login to host failed.
(Oct 14 2017 15:11:06,  848407 sec) UpLoad()             Files successfully uploaded: 0
(Oct 14 2017 15:11:06,  848407 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(Oct 14 2017 15:11:06,  848408 sec) logout()             No carrier detected.
(Oct 14 2017 15:11:06,  848408 sec) Telemetry()          Telemetry cycle complete: PrfId=108 ConnectionAttempts=8  Connections=8
(Oct 14 2017 15:26:21,  849322 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [127cnt, 6.8"Hg].
(Oct 14 2017 15:26:49,  849350 sec) GpsServices()        GPS almanac is current.
(Oct 14 2017 15:26:49,  849350 sec) GpsServices()        Initiating GPS fix acquisition.
(Oct 14 2017 15:27:20,  849381 sec) gga()                $GPGGA,152630,1211.0462,N,08708.8121,E,1,00,0.9,-1.8,M,-75.7,M,,*4A
(Oct 14 2017 15:27:44,  849406 sec) gga()                $GPGGA,152640,1211.0487,N,08708.8169,E,1,09,0.9,-1.7,M,-75.7,M,,*4C
(Oct 14 2017 15:27:45,  849406 sec) GpsServices()        Profile 108 GPS fix obtained in 56 seconds.
(Oct 14 2017 15:27:45,  849406 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Oct 14 2017 15:27:45,  849406 sec) GpsServices()        Fix:   87.147  12.184 10/14/2017 152640    9
(Oct 14 2017 15:28:10,  849431 sec) gga()                $GPGGA,152720,1211.0362,N,08708.8325,E,1,11,0.9,-0.5,M,-75.7,M,,*47
(Oct 14 2017 15:28:16,  849437 sec) gga()                $GPGGA,152750,1211.0284,N,08708.8442,E,1,11,0.9,-0.9,M,-75.7,M,,*43
(Oct 14 2017 15:28:16,  849437 sec) GpsServices()        APF9 RTC skew (26s) OK.
(Oct 14 2017 15:28:16,  849438 sec) LogNmeaSentences()   ,33,080,44,16,82,164,45,22,60,287,44,23,12,321,40*74
(Oct 14 2017 15:28:16,  849438 sec) LogNmeaSentences()   $GPGSV,3,3,12,26,62,038,47,27,24,156,42,31,22,032,44,32,24,099,44*71
(Oct 14 2017 15:28:26,  849447 sec) LogNmeaSentences()   $GPRMC,152800,A,1211.0259,N,08708.8476,E,002.2,123.3,141017,001.4,W*69
(Oct 14 2017 15:28:26,  849447 sec) LogNmeaSentences()   $GPGGA,152800,1211.0259,N,08708.8476,E,1,12,0.9,0.0,M,-75.7,M,,*69
(Oct 14 2017 15:28:26,  849448 sec) LogNmeaSentences()   $GPGSA,A,3,01,03,08,11,14,16,22,23,26,27,31,32,1.2,0.9,0.8*3B
(Oct 14 2017 15:28:27,  849448 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,16,242,41,03,41,310,47,08,11,188,39,11,06,224,35*7F
(Oct 14 2017 15:28:27,  849449 sec) LogNmeaSentences()   $GPGSV,3,2,12,14,33,080,44,16,82,164,45,22,60,286,45,23,12,321,42*76
