(May 22 2022 22:11:09,  856058 sec) chat()               Expected string [CONNECT] not received.
(May 22 2022 22:11:09,  856059 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(May 22 2022 22:11:09,  856059 sec) connect()            Connection attempt failed.
(May 22 2022 22:11:09,  856059 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(May 22 2022 22:11:10,  856059 sec) UpLoad()             Files successfully uploaded: 0
(May 22 2022 22:11:10,  856060 sec) UpLoad()             Aborting upload: Retry limit [2] exceeded. Upload incomplete.
(May 22 2022 22:11:10,  856060 sec) logout()             No carrier detected.
(May 22 2022 22:11:10,  856060 sec) Telemetry()          Telemetry cycle complete: PrfId=244 ConnectionAttempts=13  Connections=4
(May 22 2022 22:26:26,  856975 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [125cnt, 6.2"Hg].
(May 22 2022 22:27:11,  857020 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: -0.7dbars / 221.7uM 28.760C 29.327 8.967 -8.835 / 60,146,531
(May 22 2022 22:27:19,  857029 sec) GpsServices()        GPS almanac is current.
(May 22 2022 22:27:19,  857029 sec) GpsServices()        Initiating GPS fix acquisition.
(May 22 2022 22:27:35,  857045 sec) gga()                $GPGGA,222710,1947.3546,N,06042.5224,E,0,00,,,M,,M,,*57
(May 22 2022 22:28:18,  857087 sec) gga()                $GPGGA,222720,1947.5034,N,06042.9411,E,6,06,1.2,-7.2,M,-47.5,M,,*40
(May 22 2022 22:29:00,  857130 sec) gga()                $GPGGA,222730,1947.5032,N,06042.9423,E,1,06,1.2,-4.5,M,-47.5,M,,*45
(May 22 2022 22:29:01,  857131 sec) GpsServices()        Profile 244 GPS fix obtained in 102 seconds.
(May 22 2022 22:29:01,  857131 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(May 22 2022 22:29:01,  857131 sec) GpsServices()        Fix:   60.716  19.792 05/22/2022 222730    6
(May 22 2022 22:29:45,  857175 sec) gga()                $GPGGA,222850,1947.5067,N,06042.9565,E,1,06,1.2,-3.9,M,-47.5,M,,*44
(May 22 2022 22:29:53,  857183 sec) gga()                $GPGGA,222940,1947.5098,N,06042.9666,E,1,06,1.2,-6.3,M,-47.5,M,,*4B
(May 22 2022 22:29:53,  857183 sec) GpsServices()        APF9 RTC skew (13s) OK.
(May 22 2022 22:29:53,  857183 sec) GpsServices()        GPS services complete.
(May 22 2022 22:31:07,  857257 sec) CLogin()             Connecting to primary host.
(May 22 2022 22:31:31,  857280 sec) CLogin()             Connection 5 established in 24 seconds.
(May 22 2022 22:32:02,  857311 sec) expect()             Attempt to read prompt string [Last login:] failed.
(May 22 2022 22:32:02,  857312 sec) login()              Login failed.
(May 22 2022 22:32:32,  857341 sec) expect()             Attempt to read prompt string [login:] failed.
(May 22 2022 22:32:32,  857342 sec) login()              Login prompt not received.
(May 22 2022 22:32:46,  857356 sec) CLogin()             Connection 6 established in 99 seconds.
(May 22 2022 22:33:22,  857391 sec) expect()             Attempt to read prompt string [Last login:] failed.
(May 22 2022 22:33:22,  857392 sec) login()              Login failed.
(May 22 2022 22:33:32,  857402 sec) login()              Login successful.
(May 22 2022 22:33:35,  857405 sec) CLogin()             Logged in to host.  [Login required 49 seconds]
(May 22 2022 22:34:15,  857444 sec) chat()               Expected string [sx -a  mission.cfg] not received.
(May 22 2022 22:34:15,  857445 sec) RxConfig()           Failed attempt to execute "sx -a  mission.cfg" on the host.
(May 22 2022 22:34:15,  857445 sec) RxConfig()           No carrier detected.
(May 22 2022 22:34:15,  857445 sec) DownLoadMissionCfg(  Keeping previous version of "mission.cfg".
(May 22 2022 22:34:16,  857446 sec) CLogin()             Connecting to primary host.
(May 22 2022 22:34:22,  857451 sec) chat()               Expected string [OK] not received.
(May 22 2022 22:34:22,  857451 sec) modem_restore_facto  Modem command [AT&F0] failed.
(May 22 2022 22:34:22,  857452 sec) modem_initialize()   Unable to restore modem's factory defaults.
(May 22 2022 22:34:22,  857452 sec) modem_connect()      Modem configuration failed.
(May 22 2022 22:34:22,  857452 sec) connect()            Connection attempt failed.
(May 22 2022 22:34:28,  857457 sec) chat()               Expected string [OK] not received.
